case,family,background,source_id,direction,method,smc_survived,found_cf,terminal_tv,ess_fraction,normalizer_relative_estimate,unique_cf,seconds,best_base_edit_regret,endpoint_mean_meets_gain,endpoint_all_replicates_positive,endpoint_all_replicates_meet_gain,endpoint_base_edits
069a2579961e4beb,"GABPA,HNF4A,REST",1,seq_155235,-1,reference,1.0,1.0,0.16456497993478317,0.5712160338708006,1.0871531875447924,4.4375,0.00026156912497299345,0.0,0.1492535324851,0.09208475516625052,0.09208475516625052,10.265262913323877
069a2579961e4beb,"GABPA,HNF4A,REST",1,seq_155235,-1,myopic,1.0,1.0,0.2116527749835413,0.4643862859875594,1.0163769432812733,3.375,0.00025799812500792996,0.0,0.17997302447379446,0.07221286319848659,0.07221286319848659,10.311992003056245
069a2579961e4beb,"GABPA,HNF4A,REST",1,seq_155235,-1,rollout,1.0,1.0,0.16272990724887915,0.7986392074265067,0.9662419040454512,4.25,0.00048750474998371374,0.0,0.19488285713128592,0.06519858478725726,0.06519858478725726,10.530381744487084
069a2579961e4beb,"GABPA,HNF4A,REST",1,seq_155235,-1,learned,1.0,1.0,0.15613239140445037,0.9143862022741368,0.9846966075757392,4.5,0.0017667954374900319,0.0,0.19528514300506897,0.0668310947074045,0.0668310947074045,10.54695730905756
069a2579961e4beb,"GABPA,HNF4A,REST",1,seq_155235,-1,exact,1.0,1.0,0.13962035071281756,1.0,0.9999999999999998,4.25,0.00025182100000620267,0.0,0.1796875,0.07421875,0.07421875,10.67578125
069a2579961e4beb,"GABPA,HNF4A,REST",1,seq_155235,-1,defensive_rollout,1.0,1.0,0.16346051175064386,0.8088247256937597,1.0219070724805737,4.6875,0.0004951454374975128,0.0,0.14460696238386522,0.07694509479807102,0.07694509479807102,10.339494928021207
06ad376329652954,"FOXA1,ONECUT1,ONECUT1",1,seq_123585,1,reference,1.0,1.0,0.1955029436919001,0.75855967063369,1.0625781814843103,5.4375,0.0002650441874862963,0.0,1.0,1.0,1.0,12.41644474178268
06ad376329652954,"FOXA1,ONECUT1,ONECUT1",1,seq_123585,1,myopic,1.0,1.0,0.2926710730256218,0.4757623547500093,1.0489114846511312,4.375,0.00024589606246649964,0.0,1.0,1.0,1.0,12.436129242601503
06ad376329652954,"FOXA1,ONECUT1,ONECUT1",1,seq_123585,1,rollout,1.0,1.0,0.198804223037423,0.8591033815153413,1.018884216562641,5.3125,0.0005381454375026351,0.0,1.0,1.0,1.0,12.467530312340187
06ad376329652954,"FOXA1,ONECUT1,ONECUT1",1,seq_123585,1,learned,1.0,1.0,0.20131431966749547,0.9618423844082155,1.0119459809198883,5.375,0.0021356440000062094,0.0,1.0,1.0,1.0,13.093906998654173
06ad376329652954,"FOXA1,ONECUT1,ONECUT1",1,seq_123585,1,exact,1.0,1.0,0.14986692092908133,1.0,1.0,5.25,0.00025695293747673986,0.0,1.0,1.0,1.0,12.8671875
06ad376329652954,"FOXA1,ONECUT1,ONECUT1",1,seq_123585,1,defensive_rollout,1.0,1.0,0.19897157460094514,0.8920738511465833,1.0136575615414025,5.375,0.0004997696249802175,0.0,1.0,1.0,1.0,13.022795762543371
07d3c3b87255bce0,"RXRA,SP1,YY1",2,seq_134196,1,reference,1.0,1.0,0.11007208699619259,0.430499581909524,1.0458033079792517,2.0,0.0002575420625419156,0.0,0.24010401658786487,0.24010401658786487,0.0,10.40104016587865
07d3c3b87255bce0,"RXRA,SP1,YY1",2,seq_134196,1,myopic,1.0,1.0,0.22966313783414413,0.3293243832801761,1.0556825703308255,1.875,0.00027331275001074573,0.0,0.26965216512726037,0.26965216512726037,0.0,10.696521651272604
07d3c3b87255bce0,"RXRA,SP1,YY1",2,seq_134196,1,rollout,1.0,1.0,0.08281676479647823,0.7063310524123791,0.8362691371560314,2.0,0.00048654512501400404,0.0,0.19168039330974967,0.19168039330974967,0.0,9.916803933097496
07d3c3b87255bce0,"RXRA,SP1,YY1",2,seq_134196,1,learned,1.0,1.0,0.08883029603085671,0.9570404787308094,0.9403331407823892,2.0,0.002184422562507393,0.0,0.20417709804613232,0.20417709804613232,0.0,10.041770980461322
07d3c3b87255bce0,"RXRA,SP1,YY1",2,seq_134196,1,exact,1.0,1.0,0.0838476103885249,1.0,1.0000000000000004,2.0,0.00031314225002176954,0.0,0.16796875,0.16796875,0.0,9.6796875
07d3c3b87255bce0,"RXRA,SP1,YY1",2,seq_134196,1,defensive_rollout,1.0,1.0,0.08548151577129326,0.6938188493462151,1.0016603985396402,2.0,0.0004954353750434848,0.0,0.17067108786043245,0.17067108786043245,0.0,9.706710878604323
084b2fd395099f80,"CEBPA,FOXA1,GABPA",2,seq_188818,1,reference,1.0,1.0,0.12056844770638263,0.32979341259911776,1.0709724160475655,2.0,0.0002384912499735492,0.0,0.0,0.0,0.0,16.809635046468014
084b2fd395099f80,"CEBPA,FOXA1,GABPA",2,seq_188818,1,myopic,1.0,1.0,0.1293130260986659,0.2363033642101084,0.8333699034976145,1.5625,0.00023992393751370855,0.0,0.0,0.0,0.0,16.0644440402017
084b2fd395099f80,"CEBPA,FOXA1,GABPA",2,seq_188818,1,rollout,1.0,1.0,0.12357054778608227,0.7288820995657925,0.8060672907269821,2.0,0.0005171046249898836,0.0,0.0,0.0,0.0,16.725691587626624
084b2fd395099f80,"CEBPA,FOXA1,GABPA",2,seq_188818,1,learned,1.0,1.0,0.06932631292365399,0.8970425099193211,0.9359783568191015,2.0,0.0022281484374815363,0.0,0.0,0.0,0.0,16.13586943412806
